Country,Beta_Used,R0,Final_Size,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Young_Avg,Middle_Avg,Middle2_Avg,Old_Avg,Rank
Peru,0.058,2.865386350936968,0.8237592494220339,0.7960357732314721,0.9126406180659324,0.9591577470768636,0.9725553202534808,0.915743150010349,0.8992342833549274,0.8923370092643201,0.8930879621942911,0.88592733106539,0.8342131900780022,0.8072551704559872,0.7337307244888996,0.5707559169067994,0.3673345316339941,0.304903177167742,0.2526638861279209,0.9100973646569372,0.9001006012059718,0.8152816040220697,0.3739143779591141,38
Sweden,0.058,2.25064552032368,0.713815037413209,0.6885576861887879,0.7509986224649765,0.8054515151888926,0.9300878396719884,0.8617643280565742,0.8566175754061349,0.8431754167126367,0.8771459250166646,0.882753419515255,0.8402109477445789,0.8109985967824728,0.7171122680079662,0.5502723437791557,0.5019372857979185,0.3978803734257331,0.2740565637476604,0.7937739158786613,0.8596758112980026,0.8127688080125682,0.4310366416876169,39
Kenya,0.058,3.460119269846678,0.897157447317716,0.8837411393395054,0.9771607690110442,0.9836078896976596,0.9796549683584924,0.9147661253790624,0.9024198514104608,0.8954591412510828,0.8927723369138911,0.8825344905366699,0.8537701411314659,0.7846609386672829,0.7220847797853059,0.6764700851496797,0.4075150177913669,0.433909682882501,0.2582226617853359,0.9560411916016754,0.9013543637386243,0.810762587530181,0.44402936190222086,40
Singapore,0.058,2.5281204168654177,0.7341290898244038,0.6270513659048143,0.8854561682153015,0.9451975524173396,0.970963793519988,0.8855740988904154,0.8590216781741482,0.8779340982645765,0.8887368685448019,0.8718369908027035,0.8211986418334852,0.8147834888260723,0.7348517305022576,0.5342907592174039,0.350571126902154,0.316240136992429,0.2318830332492054,0.8571672200143607,0.8778166859684855,0.8106677129911297,0.3582462640902981,41
Senegal,0.058,3.743861183969336,0.8922941446228678,0.8774035740416897,0.9702218288727742,0.9919245015838516,0.9792056915148788,0.9018154411128052,0.880279393661119,0.8714376809429509,0.8775348166849841,0.8616015906837319,0.8130812659476911,0.8030205235655327,0.7496520750291411,0.6199112660185221,0.5002343391959905,0.4961592289901155,0.4417787713802283,0.9546888990032985,0.8827668331004648,0.8068388638065243,0.5145209013962141,42
Armenia,0.058,2.568214187529813,0.7448528739158892,0.622636206383002,0.8316194704405545,0.8751334580205763,0.9687728533825778,0.9260940498623108,0.8917519078936291,0.8285250081968014,0.8042538455588661,0.8141092195495511,0.8277736417041228,0.8513604305348199,0.7338103142510999,0.5160213149160843,0.2815649808442495,0.451169952224918,0.3656128570200072,0.8245404970566778,0.8626562028779019,0.8067634015098984,0.4035922762513148,43
Finland,0.058,2.078466414020443,0.751569415672546,0.6541264736737499,0.7470413582798927,0.807396516011754,0.812028223441135,0.7428019205832268,0.8545237843684736,0.842731497628703,0.8425525713803398,0.8683313878170567,0.841802219601949,0.8459106611092955,0.6658694107655508,0.5089347726774676,0.4388631037508864,0.3477708277188376,0.283955197972221,0.7551481428516329,0.8206524434901858,0.8054784198234629,0.39488097552985313,44
Mauritania,0.058,3.654720958773424,0.876391110531701,0.839122977738642,0.9830751244738496,0.9890853630710886,0.9685701293810208,0.8764444159704975,0.8476285323441952,0.8514175734611851,0.8516283990210273,0.8463829085511767,0.7977761312137253,0.7832045767996078,0.7869000803622113,0.6477674102841233,0.478366042687147,0.4328248158864505,0.3055201794836762,0.9449633986661502,0.8567797301992263,0.8035659242316803,0.46611961208534924,45
Paraguay,0.058,3.077605999318569,0.8355769318096746,0.7874416127396661,0.9294269064883316,0.9701160442648106,0.9814152329338272,0.9251435508912684,0.8980098188393362,0.8720573814614503,0.8609440977828537,0.8635176669127805,0.8316119567727899,0.8010861864128773,0.7098400295728149,0.552356369383382,0.3758035943835499,0.3165514982316726,0.2378358948214328,0.9170999491066588,0.8890387122437271,0.8015139599178156,0.3706368392050093,46
Canada,0.058,2.2952511865758094,0.6999632608275572,0.650784864772722,0.7666147921307629,0.8583199478029474,0.9462811854629526,0.8639883270713016,0.8497822595219533,0.8452913370105716,0.8539659885242099,0.8512664717646237,0.8316076024127635,0.8160389147590518,0.7043073325716065,0.491125682385045,0.4087842254569105,0.3336353945715006,0.2429909072648465,0.8055001975423463,0.8532569780320092,0.8008050803770115,0.36913405241957564,47
